"","age","c_charge_degree","race","age_cat","v_score_text","sex","priors_count","days_b_screening_arrest","v_decile_score","is_recid","two_year_recid"
"1",69,"F","Other","Greater than 45","Low","Male",0,-1,1,0,0
"2",34,"F","African-American","25 - 45","Low","Male",0,-1,1,1,1
"3",44,"M","Other","25 - 45","Low","Male",0,0,1,0,0
"4",43,"F","Other","25 - 45","Low","Male",3,-1,3,0,0
"5",39,"M","Caucasian","25 - 45","Low","Female",0,-1,1,0,0
"6",27,"F","Caucasian","25 - 45","Low","Male",0,-1,4,0,0
"7",37,"M","Caucasian","25 - 45","Low","Female",0,0,1,0,0
"8",41,"F","African-American","25 - 45","Low","Male",0,-1,2,0,0
"9",37,"M","Hispanic","25 - 45","Low","Male",0,0,1,0,0
"10",25,"F","African-American","25 - 45","High","Male",3,-1,9,0,0
"11",31,"F","Caucasian","25 - 45","Low","Male",6,-1,4,1,1
"12",21,"F","Caucasian","Less than 25","Medium","Female",0,-2,5,0,0
"13",43,"M","Caucasian","25 - 45","Low","Male",1,-1,2,0,0
"14",32,"M","Other","25 - 45","Low","Male",0,-1,4,0,0
"15",27,"F","African-American","25 - 45","Low","Male",8,-1,3,1,1
"16",33,"F","African-American","25 - 45","Medium","Male",0,0,6,1,1
"17",55,"F","Caucasian","Greater than 45","Low","Male",0,-1,1,0,0
"18",29,"M","Caucasian","25 - 45","Low","Male",0,0,2,0,0
"19",21,"F","African-American","Less than 25","High","Female",2,-1,8,0,0
"20",51,"M","African-American","Greater than 45","Low","Male",2,-1,1,0,0
"21",51,"F","African-American","Greater than 45","Low","Female",7,-1,2,0,0
"22",25,"M","Caucasian","25 - 45","High","Male",9,-1,9,1,1
"23",35,"F","African-American","25 - 45","Low","Male",13,-1,3,1,1
"24",49,"M","Caucasian","Greater than 45","Low","Male",0,0,1,0,0
"25",29,"F","African-American","25 - 45","Low","Male",0,0,3,0,0
"26",28,"F","Other","25 - 45","Low","Female",0,-1,2,0,0
"27",31,"F","African-American","25 - 45","Medium","Male",15,-1,7,1,0
"28",30,"M","Hispanic","25 - 45","Low","Male",0,0,3,0,0
"29",49,"M","African-American","Greater than 45","Low","Male",4,-1,1,0,0
"30",53,"F","Caucasian","Greater than 45","Low","Male",8,-13,2,0,0
"31",35,"F","African-American","25 - 45","Low","Male",5,-1,2,0,0
"32",62,"M","Hispanic","Greater than 45","Low","Male",0,0,1,0,0
"33",33,"M","Other","25 - 45","Low","Male",0,-1,1,0,0
"34",56,"M","African-American","Greater than 45","Low","Female",0,0,1,0,0
"35",45,"F","Hispanic","Greater than 45","Low","Male",6,-1,1,1,1
"36",22,"F","Hispanic","Less than 25","Medium","Male",1,-1,6,0,0
"37",39,"M","African-American","25 - 45","Low","Male",1,-1,2,0,0
"38",40,"F","African-American","25 - 45","Low","Male",2,-15,1,0,0
"39",22,"F","Caucasian","Less than 25","Medium","Male",0,-1,6,0,0
"40",26,"F","African-American","25 - 45","Low","Female",1,-1,3,1,1
"41",32,"F","African-American","25 - 45","Low","Male",0,-1,1,0,0
"42",41,"M","African-American","25 - 45","Low","Male",1,-1,2,0,0
"43",30,"M","African-American","25 - 45","High","Male",8,-1,9,1,1
"44",25,"F","African-American","25 - 45","High","Male",14,-1,10,1,1
"45",20,"F","Other","Less than 25","High","Male",0,-1,8,1,1
"46",35,"M","African-American","25 - 45","Low","Female",1,-1,1,0,0
"47",25,"F","Caucasian","25 - 45","High","Male",9,-1,9,1,1
"48",20,"F","Caucasian","Less than 25","High","Female",0,-1,8,0,0
"49",54,"M","Caucasian","Greater than 45","Low","Female",0,0,1,0,0
"50",44,"M","Hispanic","25 - 45","Low","Female",0,-2,1,0,0
"51",19,"M","African-American","Less than 25","Medium","Male",1,-10,7,1,1
"52",30,"F","African-American","25 - 45","Low","Male",1,-1,2,0,0
"53",39,"F","Caucasian","25 - 45","Low","Female",0,-1,1,1,1
"54",30,"F","Caucasian","25 - 45","Low","Male",0,-1,2,0,0
"55",31,"M","Caucasian","25 - 45","Low","Male",0,-1,2,0,0
"56",39,"F","Caucasian","25 - 45","Low","Female",1,-1,3,0,0
"57",43,"F","Caucasian","25 - 45","Low","Male",1,-30,1,0,0
"58",34,"F","Caucasian","25 - 45","Medium","Male",0,0,5,0,0
"59",37,"F","African-American","25 - 45","Low","Male",3,0,1,0,0
"60",31,"M","African-American","25 - 45","High","Male",1,-1,8,0,0
"61",30,"F","Other","25 - 45","Low","Female",1,-1,2,0,0
"62",31,"F","Caucasian","25 - 45","Medium","Male",13,-1,7,1,1
"63",52,"M","Caucasian","Greater than 45","Medium","Male",3,-2,6,0,0
"64",42,"F","Caucasian","25 - 45","Low","Male",6,-4,1,0,0
"65",25,"F","Caucasian","25 - 45","Medium","Female",2,-1,5,0,0
"66",30,"M","Caucasian","25 - 45","Low","Male",1,-20,2,0,0
"67",37,"M","Other","25 - 45","Low","Female",2,-1,1,0,0
"68",24,"M","African-American","Less than 25","Low","Female",0,-1,3,0,0
"69",31,"M","African-American","25 - 45","Low","Male",1,-1,3,1,0
"70",20,"F","African-American","Less than 25","High","Female",1,0,10,0,0
"71",43,"M","Caucasian","25 - 45","Low","Female",0,0,1,0,0
"72",32,"F","African-American","25 - 45","Medium","Male",11,-2,5,1,1
"73",33,"M","African-American","25 - 45","Low","Male",8,-1,2,1,1
"74",20,"F","African-American","Less than 25","High","Female",0,0,8,0,0
"75",26,"M","Caucasian","25 - 45","Low","Female",0,-2,3,0,0
"76",63,"F","Hispanic","Greater than 45","Low","Male",1,-26,1,0,0
"77",32,"F","African-American","25 - 45","High","Female",4,-7,9,1,1
"78",29,"F","Hispanic","25 - 45","Low","Male",1,-1,4,0,0
"79",39,"M","Caucasian","25 - 45","Low","Male",1,-1,4,0,0
"80",30,"F","African-American","25 - 45","High","Male",1,0,8,0,0
"81",48,"M","Caucasian","Greater than 45","Low","Male",2,-1,1,0,0
