age_binary,sex_binary,race_C,juv_fel_count_C,decile_score_C,juv_misd_count_C,juv_other_count_C,priors_count_C,days_b_screening_arrest_C,c_days_from_compas_C,c_charge_degree_C,v_decile_score_C,start_C,end_C,event_C,MarriageStatus_C,Violence_score,Recidivism_score,act,pred
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-2.02,-0.77,1,[0]
0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,-1.49,0.64,1,[0]
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-2.08,-0.65,1,[0]
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-3.26,-0.51,0,[1]
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-1.15,0.08,0,[1]
1,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,-3.62,-2.12,0,[1]
1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,-3.56,-2.19,1,[0]
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.6,-0.32,0,[1]
0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,-1.93,-0.27,1,[0]
1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-2.24,-0.01,1,[0]
1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,-0.88,-0.46,1,[0]
1,0,1,0,1,0,0,3,0,0,0,1,0,0,0,0,-0.93,-0.23,1,[0]
0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,-1.65,-0.03,0,[1]
0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,-2.58,-0.73,1,[0]
1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,-3.91,-2.41,1,[0]
0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.5,-0.76,0,[1]
0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,-1.05,-0.02,1,[0]
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3.13,-1.49,0,[1]
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-2.1,-0.47,0,[1]
1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.37,-1.03,1,[0]
1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-3.05,-0.91,0,[1]
1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,-3.52,-1.49,0,[1]
0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,-0.55,1.12,0,[1]
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.98,-0.44,1,[0]
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.64,-0.36,1,[0]
1,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,-3.67,-2.12,0,[1]
0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,-2.6,-1.21,0,[1]
0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-1.83,-0.3,1,[0]
1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,-2.68,-0.12,1,[0]
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,-2.22,-0.6,1,[0]
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.31,-0.64,0,[1]
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.97,-0.97,0,[1]
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-2.98,-0.45,1,[0]
0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,-2.68,-0.63,1,[0]
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.88,-1.16,0,[1]
0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,-1.78,-0.02,1,[0]
0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,4,-2.41,-0.7,1,[0]
0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,-3.01,-1.21,0,[1]
0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,1,-2.13,-0.76,1,[0]
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.61,-1.16,0,[1]
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.86,-0.08,0,[1]
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-2.01,0.53,0,[1]
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,-2.66,-1.28,1,[0]
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-1.51,0.88,0,[1]
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-1.72,0.29,1,[0]
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-1.43,0.13,1,[0]
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.98,-0.94,0,[1]
0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,-3.02,-1.65,0,[1]
0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,-1.07,-0.13,1,[0]
0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,-1.92,0.28,1,[0]
0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.77,0.76,0,[1]
1,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,-2.67,-0.13,0,[1]
0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,-0.82,0.06,1,[0]
0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,-1.1,0.05,1,[0]
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1.74,-0.38,0,[1]
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.93,-0.96,1,[0]
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2.32,-0.37,0,[1]
1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,-3.54,-1.64,0,[1]
0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,-0.83,0.7,0,[1]
0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,-1.16,0.09,0,[1]
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,-1.05,0,[1]
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.7,-0.34,0,[1]
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,-1.1,1.14,0,[1]
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-2.37,-1.31,1,[0]
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-1.4,-0.03,0,[1]
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-2.38,-0.59,1,[0]
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,-3.57,-1.7,1,[0]
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.75,-0.32,1,[0]
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,-2.06,-0.37,1,[0]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.2,-0.57,0,[1]
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-2.57,-0.53,1,[0]
0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,-2.04,0.22,0,[1]
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,-3.64,-1.18,1,[0]
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2.31,-0.22,1,[0]
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.17,-0.68,0,[1]
0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,-1.27,0.51,0,[1]
0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.38,0.73,1,[0]
0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,-2.0,-0.11,1,[0]
0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,-1.47,-0.4,1,[0]
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.18,-0.37,0,[1]
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.55,-1.45,1,[0]
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,-3.52,-1.56,0,[1]
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,-2.07,-0.45,0,[1]
0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,-1.99,0.49,0,[1]
0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,-1.45,0.02,1,[0]
1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-2.1,-0.1,0,[1]
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,-2.54,-0.38,1,[0]
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-2.64,-1.09,0,[1]
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.2,-1.19,1,[0]
0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-1.98,0.25,0,[1]
0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,-1.76,-0.29,1,[0]
0,0,2,0,0,0,0,0,2,2,1,0,0,0,0,0,-2.08,-0.65,1,[0]
0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,-2.03,-0.23,0,[1]
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,-1.73,-0.27,0,[1]
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3.63,-1.82,1,[0]
0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,-1.68,0.17,0,[1]
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,-2.01,-0.68,0,[1]
